Index,Name,Meaning,Korean,Sex
56,Jorunn Coalfire,Jorunn (JOR-un) Coalfire,요룬 콜파이어,
57,Kaelin Boulderkin,Kaelin (KAY-lin) Boulderkin,카엘린 볼더킨,
58,Lorna Ironhide,Lorna (LOR-na) Ironhide,로르나 아이언하이드,
59,Myra Deepdelver,Myra (MY-ra) Deepdelver,마이라 딥델버,
60,Nadia Oreheart,Nadia (NAD-ee-a) Oreheart,나디아 오어하트,
61,Oriel Stonefist,Oriel (OR-ee-el) Stonefist,오리엘 스톤피스트,
62,Paloma Deepvein,Paloma (pa-LOH-ma) Deepvein,팔로마 딥베인,
63,Quinn Rockfall,Quinn (KWIN) Rockfall,퀸 록폴,
64,Rhoda Hammerborn,Rhoda (ROH-da) Hammerborn,로다 해머본,
65,Sarina Deepmine,Sarina (sa-REE-na) Deepmine,사리나 딥마인,
66,Tamsin Stoutaxe,Tamsin (TAM-zin) Stoutaxe,탐신 스타우트액스,
67,Ursula Stonebrow,Ursula (UR-suh-la) Stonebrow,우르술라 스톤브라우,
68,Verna Ironbraid,Verna (VER-na) Ironbraid,버나 아이언브레이드,
69,Wendy Goldvein,Wendy (WEN-dee) Goldvein,웬디 골드베인,
70,Xena Forgeborn,Xena (ZEE-na) Forgeborn,제나 포지본,
71,Yvonne Deeproot,Yvonne (ee-VON) Deeproot,이본 딥루트,
72,Zia Gemstone,Zia (ZEE-a) Gemstone,지아 젬스톤,
73,Alana Runesmith,Alana (a-LAH-na) Runesmith,알라나 룬스미스,
74,Brenda Stoneguard,Brenda (BREN-da) Stoneguard,브렌다 스톤가드,
75,Cara Thunderfist,Cara (KAR-a) Thunderfist,카라 썬더피스트,
76,Dahlia Coalfire,Dahlia (DAL-ya) Coalfire,달리아 콜파이어,
77,Erica Boulderkin,Erica (ER-i-ka) Boulderkin,에리카 볼더킨,
78,Felicia Ironhide,Felicia (fe-LEE-sha) Ironhide,펠리시아 아이언하이드,
79,Gemma Deepdelver,Gemma (JEM-ma) Deepdelver,젬마 딥델버,
80,Hazel Oreheart,Hazel (HAY-zel) Oreheart,헤이즐 오어하트,
81,Iris Stonefist,Iris (EYE-ris) Stonefist,아이리스 스톤피스트,
82,Jocelyn Deepvein,Jocelyn (JOS-lin) Deepvein,조셀린 딥베인,
83,Bram Stonebeard,Bram (BRAM) Stonebeard,브램 스톤비어드,
84,Borin Ironhand,Borin (BOR-in) Ironhand,보린 아이언핸드,
85,Durn Rockfoot,Durn (DURN) Rockfoot,던 록풋,
86,Flint Hammerfall,Flint (FLINT) Hammerfall,플린트 해머폴,
87,Grimnir Deepdelver,Grimnir (GRIM-neer) Deepdelver,그림니르 딥델버,
88,Grom Stoutaxe,Grom (GROM) Stoutaxe,그롬 스타우트액스,
89,Kaelen Stonebrow,Kaelen (KAY-len) Stonebrow,카엘렌 스톤브라우,
90,Thoric Ironfist,Thoric (THOR-ik) Ironfist,토릭 아이언피스트,
91,Ulfric Goldaxe,Ulfric (UHL-frik) Goldaxe,울프릭 골드액스,
92,Balin Broadshield,Balin (BAL-in) Broadshield,발린 브로드실드,
93,Dain Oreheart,Dain (DAYN) Oreheart,다인 오어하트,
94,Eldrin Coalgrip,Eldrin (EL-drin) Coalgrip,엘드린 콜그립,
95,Fjorin Anvilborn,Fjorin (FYOR-in) Anvilborn,프요린 앤빌본,
96,Gorok Stonehand,Gorok (GOR-ok) Stonehand,고록 스톤핸드,
97,Thrain Deeprock,Thrain (THRAYN) Deeprock,스라인 딥록,
98,Urgrim Battlehammer,Urgrim (UR-grim) Battlehammer,우르그림 배틀해머,
99,Vard Rockguard,Vard (VARD) Rockguard,바드 록가드,
100,Alaric Grimstone,Alaric (AL-ar-ik) Grimstone,알라릭 그림스톤,
101,Brand Silvervein,Brand (BRAND) Silvervein,브랜드 실버베인,
102,Corbin Stonewright,Corbin (KOR-bin) Stonewright,코빈 스톤라이트,
103,Dorian Ironhide,Dorian (DOR-ee-an) Ironhide,도리안 아이언하이드,
104,Einar Blackaxe,Einar (EYE-nar) Blackaxe,에이나르 블랙액스,
105,Ferdinand Greystone,Ferdinand (FUR-di-nand) Greystone,페르디난드 그레이스톤,
106,Gareth Deepmine,Gareth (GAR-eth) Deepmine,개러스 딥마인,
107,Haldor Thunderfist,Haldor (HAL-dor) Thunderfist,할도르 썬더피스트,
108,Ingvar Stonegaze,Ingvar (ING-var) Stonegaze,잉바르 스톤게이즈,
109,Jorin Goldhand,Jorin (JOR-in) Goldhand,요린 골드핸드,
110,Kael Forgearm,Kael (KAYL) Forgearm,카엘 포지암,
111,Loric Strongarm,Loric (LOR-ik) Strongarm,로릭 스트롱암,
112,Murdin Hammerhand,Murdin (MUR-din) Hammerhand,머딘 해머핸드,
113,Nodin Deeproot,Nodin (NOH-din) Deeproot,노딘 딥루트,
114,Oren Bronzebeard,Oren (OR-en) Bronzebeard,오렌 브론즈비어드,
115,Perrin Stonegrip,Perrin (PER-rin) Stonegrip,페린 스톤그립,
116,Roric Grimbeard,Roric (ROR-ik) Grimbeard,로릭 그림비어드,
117,Sindri Darkiron,Sindri (SIN-dree) Darkiron,신드리 다크아이언,
118,Thorgeir Coalhammer,Thorgeir (THOR-gayr) Coalhammer,토르게이르 콜해머,
119,Ulgrim Runesmith,Ulgrim (UHL-grim) Runesmith,울그림 룬스미스,
120,Viggo Stoneguard,Viggo (VIG-go) Stoneguard,비고 스톤가드,
121,Wilhelm Boulderkin,Wilhelm (VIL-helm) Boulderkin,빌헬름 볼더킨,
122,Yngvar Orehammer,Yngvar (ING-var) Orehammer,잉그바르 오어해머,
123,Argrim Ironfoot,Argrim (AR-grim) Ironfoot,아르그림 아이언풋,
124,Bardin Stoutheart,Bardin (BAR-din) Stoutheart,바르딘 스타우트하트,
125,Cormac Stonecutter,Cormac (KOR-mak) Stonecutter,코맥 스톤커터,
126,Drakon Blackrock,Drakon (DRA-kon) Blackrock,드라콘 블랙록,
127,Egil Deepaxe,Egil (EH-gil) Deepaxe,에게일 딥액스,
128,Fendrel Hardrock,Fendrel (FEN-drel) Hardrock,펜드렐 하드록,
129,Griswold Ironborn,Griswold (GRIS-wold) Ironborn,그리스월드 아이언본,
130,Hakon Stoneforge,Hakon (HA-kon) Stoneforge,하콘 스톤포지,
131,Ingmar Goldfist,Ingmar (ING-mar) Goldfist,잉그마르 골드피스트,
132,Jorvin Stonefall,Jorvin (JOR-vin) Stonefall,요르빈 스톤폴,
133,Kaelan Deepshaft,Kaelan (KAY-lan) Deepshaft,카엘란 딥샤프트,
134,Lothar Thunderbeard,Lothar (LOH-thar) Thunderbeard,로타르 썬더비어드,
135,Maxim Rockhelm,Maxim (MAX-im) Rockhelm,막심 록헬름,
136,Nigel Ironhide,Nigel (NY-jel) Ironhide,나이젤 아이언하이드,
137,Oren Stonegaze,Oren (OR-en) Stonegaze,오렌 스톤게이즈,
138,Perrin Goldvein,Perrin (PER-rin) Goldvein,페린 골드베인,
139,Roric Grimaxe,Roric (ROR-ik) Grimaxe,로릭 그림액스,
140,Sindri Malmfist,Sindri (SIN-dree) Malmfist,신드리 말름피스트,
141,Thorgeir Hearthstone,Thorgeir (THOR-gayr) Hearthstone,토르게이르 하스스톤,
142,Ulgrim Deeprune,Ulgrim (UHL-grim) Deeprune,울그림 딥룬,
143,Viggo Stoneheart,Viggo (VIG-go) Stoneheart,비고 스톤하트,
144,Wilhelm Anvilfist,Wilhelm (VIL-helm) Anvilfist,빌헬름 앤빌피스트,
145,Yngvar Orebeard,Yngvar (ING-var) Orebeard,잉그바르 오어비어드,
146,Bram Steelarm,Bram (BRAM) Steelarm,브램 스틸아름,
147,Durn Blackhammer,Durn (DURN) Blackhammer,던 블랙해머,
148,Flint Deepgrip,Flint (FLINT) Deepgrip,플린트 딥그립,
149,Grimnir Goldhelm,Grimnir (GRIM-neer) Goldhelm,그림니르 골드헬름,
150,Grom Battleborn,Grom (GROM) Battleborn,그롬 배틀본,
151,Kaelen Ironbrow,Kaelen (KAY-len) Ironbrow,카엘렌 아이언브라우,
152,Thoric Rockbeard,Thoric (THOR-ik) Rockbeard,토릭 록비어드,
153,Ulfric Stonehand,Ulfric (UHL-frik) Stonehand,울프릭 스톤핸드,
154,Balin Deepforge,Balin (BAL-in) Deepforge,발린 딥포지,
155,Dain Oremane,Dain (DAYN) Oremane,다인 오어메인,
156,Eldrin Coalfist,Eldrin (EL-drin) Coalfist,엘드린 콜피스트,
157,Fjorin Hammerstone,Fjorin (FYOR-in) Hammerstone,프요린 해머스톤,
158,Gorok Grimhollow,Gorok (GOR-ok) Grimhollow,고록 그림할로우,
159,Thrain Hearthguard,Thrain (THRAYN) Hearthguard,스라인 하스가드,
160,Urgrim Stonecleaver,Urgrim (UR-grim) Stonecleaver,우르그림 스톤클리버,
161,Vard Deeprock,Vard (VARD) Deeprock,바드 딥록,
162,Alaric Blackiron,Alaric (AL-ar-ik) Blackiron,알라릭 블랙아이언,
163,Brand Silveraxe,Brand (BRAND) Silveraxe,브랜드 실버액스,
164,Corbin Stonehammer,Corbin (KOR-bin) Stonehammer,코빈 스톤해머,
165,Dorian Thunderaxe,Dorian (DOR-ee-an) Thunderaxe,도리안 썬더액스,
166,Einar Goldbeard,Einar (EYE-nar) Goldbeard,에이나르 골드비어드,
167,Ferdinand Ironbrow,Ferdinand (FUR-di-nand) Ironbrow,페르디난드 아이언브라우,
168,Gareth Deepforge,Gareth (GAR-eth) Deepforge,개러스 딥포지,
169,Haldor Stonefist,Haldor (HAL-dor) Stonefist,할도르 스톤피스트,
170,Ingvar Orehide,Ingvar (ING-var) Orehide,잉그바르 오어하이드,
171,Jorin Darkbeard,Jorin (JOR-in) Darkbeard,요린 다크비어드,
172,Kael Forgeheart,Kael (KAYL) Forgeheart,카엘 포지하트,
173,Loric Stoutarm,Loric (LOR-ik) Stoutarm,로릭 스타우트아름,
174,Murdin Anvilborn,Murdin (MUR-din) Anvilborn,머딘 앤빌본,
175,Nodin Stonefist,Nodin (NOH-din) Stonefist,노딘 스톤피스트,
176,Oren Bronzehammer,Oren (OR-en) Bronzehammer,오렌 브론즈해머,
177,Perrin Gembeard,Perrin (PER-rin) Gembeard,페린 젬비어드,
178,Roric Battleaxe,Roric (ROR-ik) Battleaxe,로릭 배틀액스,
179,Sindri Runebreaker,Sindri (SIN-dree) Runebreaker,신드리 룬브레이커,
180,Thorgeir Mountainbrow,Thorgeir (THOR-gayr) Mountainbrow,토르게이르 마운틴브라우,
181,Astrid Sten,Astrid (AH-strid) Stone,아스트리드 스텐,
182,Birgitta Jernhjerte,Birgitta (bir-YIT-ta) Ironheart,비르기타 예른히에르테,
183,Dagny Hammar,Dagny (DAHG-ni) Hammer,다그니 함마르,
184,Elin Klippe,Elin (EH-lin) Cliff,엘린 클리페,
185,Freya Malm,Freya (FREY-ah) Ore,프레야 말름,
186,Gerd Berg,Gerd (GURD) Mountain,게르드 베르그,
187,Hilda Smedja,Hilda (HIL-da) Forge,힐다 스메댜,
188,Inga Dybdal,Inga (ING-ga) Deep-Valley,잉가 뒤프달,
189,Kari Stein,Kari (KAH-ri) Stone,카리 스타인,
190,Linnea Svart,Linnea (lin-NAY-a) Black,린네아 스바르트,
191,Maja Malm,Maja (MAH-ya) Ore,마야 말름,
192,Nora Hammar,Nora (NOH-ra) Hammer,노라 함마르,
193,Olga Jern,Olga (OL-gah) Iron,올가 예른,
194,Randi Skjegg,Randi (RAN-di) Beard,란디 스케그,
195,Solveig Tung,Solveig (SOL-vayg) Heavy,솔베이그 퉁,
196,Thora Berg,Thora (TOH-ra) Mountain,토라 베르그,
197,Ursa Klippe,Ursa (UR-sa) Cliff,우르사 클리페,
198,Valborg Dyp,Valborg (VAL-borg) Deep,발보르그 뒵,
199,Wenche Jord,Wenche (VEN-ke) Earth,벤케 요르드,
200,Ylva Sten,Ylva (YOOL-va) Stone,윌바 스텐,
201,Åsa Malm,Åsa (OH-sa) Ore,오사 말름,
202,Benedikte Jern,Benedikte (be-ne-DIK-te) Iron,베네딕테 예른,
203,Dagny Klippe,Dagny (DAHG-ni) Cliff,다그니 클리페,
204,Elida Hammar,Elida (e-LEE-da) Hammer,엘리다 함마르,
205,Frøya Stein,Frøya (FRUH-ya) Stone,프뢰야 스타인,
206,Gudrun Berg,Gudrun (GOO-droon) Mountain,구드룬 베르그,
207,Hildegunn Smed,Hildegunn (HIL-de-gunn) Smith,힐데군 스메드,
208,Ingvild Dyp,Ingvild (ING-vild) Deep,잉빌드 뒵,
209,Johanna Stein,Johanna (yoh-HAH-na) Stone,요한나 스타인,
210,Kjersti Svart,Kjersti (KHER-sti) Black,셰르스티 스바르트,
211,Liv Malm,Liv (LEEV) Ore,리브 말름,
212,Mona Hammar,Mona (MOH-na) Hammer,모나 함마르,
213,Oda Jern,Oda (OH-da) Iron,오다 예른,
214,Ragnhild Skjegg,Ragnhild (RAG-nild) Beard,라그닐드 스케그,
215,Solveig Tung,Solveig (SOL-vayg) Heavy,솔베이그 퉁,
216,Tove Berg,Tove (TOH-ve) Mountain,토베 베르그,
217,Unni Klippe,Unni (OON-ni) Cliff,운니 클리페,
218,Valgerd Dyp,Valgerd (VAL-gerd) Deep,발게르드 뒵,
219,Vilde Jord,Vilde (VIL-de) Earth,빌데 요르드,
220,Ylva Sten,Ylva (YOOL-va) Stone,윌바 스텐,
221,Åshild Malm,Åshild (OH-shild) Ore,오쉴드 말름,
222,Astrid Jernbjerg,Astrid (AH-strid) Iron-Mountain,아스트리드 예른비예르그,
223,Birgitta Klippeås,Birgitta (bir-YIT-ta) Cliff-Ridge,비르기타 클리페오스,
224,Dagny Hammarslag,Dagny (DAHG-ni) Hammer-Strike,다그니 함마르슬라그,
225,Elin Steinfot,Elin (EH-lin) Stone-Foot,엘린 스타인포트,
226,Freya Malmhule,Freya (FREY-ah) Ore-Hole,프레야 말름훌레,
227,Gerd Bergdatter,Gerd (GURD) Mountain-Daughter,게르드 베르그다테르,
228,Hilda Smedkjeller,Hilda (HIL-da) Forge-Cellar,힐다 스메드셸레르,
229,Inga Dypgrotte,Inga (ING-ga) Deep-Grotto,잉가 뒤프그로테,
230,Kari Steinmur,Kari (KAH-ri) Stone-Wall,카리 스타인무르,
231,Linnea Svartdal,Linnea (lin-NAY-a) Black-Valley,린네아 스바르트달,
232,Maja Malmrose,Maja (MAH-ya) Ore-Rose,마야 말름로세,
233,Nora Hammerdatter,Nora (NOH-ra) Hammer-Daughter,노라 함마르다테르,
234,Olga Jernfeste,Olga (OL-gah) Iron-Fastness,올가 예른페스테,
235,Randi Skjeggkvinne,Randi (RAN-di) Beard-Woman,란디 스케그크빈네,
236,Solveig Tungesmed,Solveig (SOL-vayg) Heavy-Smith,솔베이그 퉁게스메드,
237,Thora Bergheim,Thora (TOH-ra) Mountain-Home,토라 베르그하임,
238,Ursa Klippevogter,Ursa (UR-sa) Cliff-Guardian,우르사 클리페보그터,
239,Valborg Dybsjæl,Valborg (VAL-borg) Deep-Soul,발보르그 뒵스옐,
240,Wenche Jordmor,Wenche (VEN-ke) Earth-Mother,벤케 요르드모르,
241,Ylva Stengrund,Ylva (YOOL-va) Stone-Ground,윌바 스텐그룬,
242,Åsa Malmkilde,Åsa (OH-sa) Ore-Spring,오사 말름킬데,
243,Benedikte Jernhånd,Benedikte (be-ne-DIK-te) Iron-Hand,베네딕테 예른호른,
244,Dagny Klippelys,Dagny (DAHG-ni) Cliff-Light,다그니 클리페뤼스,
245,Elida Hammerslag,Elida (e-LEE-da) Hammer-Strike,엘리다 함마르슬라그,
246,Frøya Steinrune,Frøya (FRUH-ya) Stone-Rune,프뢰야 스타인루네,
247,Gudrun Bergtind,Gudrun (GOO-droon) Mountain-Peak,구드룬 베르그틴드,
248,Hildegunn Smieovn,Hildegunn (HIL-de-gunn) Forge-Oven,힐데군 스미에오븐,
249,Ingvild Dybkilde,Ingvild (ING-vild) Deep-Spring,잉빌드 뒵킬데,
250,Johanna Stenvej,Johanna (yoh-HAH-na) Stone-Way,요한나 스텐베이,
251,Kjersti Svartdal,Kjersti (KHER-sti) Black-Valley,셰르스티 스바르트달,
252,Liv Malmkløft,Liv (LEEV) Ore-Cleft,리브 말름클뢰프트,
253,Mona Hammarskjøld,Mona (MOH-na) Hammer-Shield,모나 함마르스죌드,
254,Oda Jernklang,Oda (OH-da) Iron-Sound,오다 예른클랑,
255,Ragnhild Skjeggblomst,Ragnhild (RAG-nild) Beard-Flower,라그닐드 스케그블롬스트,
256,Solveig Tungsten,Solveig (SOL-vayg) Tungsten,솔베이그 퉁스텐,
257,Tove Bergfaste,Tove (TOH-ve) Mountain-Fast,토베 베르그파스테,
258,Unni Klippefald,Unni (OON-ni) Cliff-Fall,운니 클리페팔,
259,Valgerd Dybskalle,Valgerd (VAL-gerd) Deep-Skull,발게르드 뒵스칼레,
260,Vilde Jordbunden,Vilde (VIL-de) Earth-Bound,빌데 요르분덴,
261,Ylva Stensmed,Ylva (YOOL-va) Stone-Smith,윌바 스텐스메드,
262,Åshild Malmgrot,Åshild (OH-shild) Ore-Grubber,오쉴드 말름그로트,
263,Aksel Steinøks,Aksel (AK-sel) Stone-Axe,악셀 스타인외크스,
264,Bjorn Jernskjold,Bjorn (BYURN) Iron-Shield,비외른 예른스욜,
265,Dagfinn Hammervold,Dagfinn (DAHG-fin) Hammer-Rule,다그핀 함메르볼드,
266,Eirik Bergtroll,Eirik (AY-rik) Mountain-Troll,에이리크 베르그트롤,
267,Frode Malmstein,Frode (FRO-de) Ore-Stone,프로데 말름스타인,
268,Gunnar Klippebreker,Gunnar (GOON-nar) Cliff-Breaker,군나르 클리페브레케르,
269,Hakon Smedhånd,Hakon (HAH-kon) Smith-Hand,하콘 스메드호른,
270,Ivar Dypfjell,Ivar (EE-var) Deep-Mountain,이바르 뒤프피엘,
271,Jarl Steinrøyk,Jarl (YARL) Stone-Smoke,야를 스타인뢰위크,
272,Kåre Svartskjegg,Kåre (KOH-re) Black-Beard,코레 스바르트스케그,
273,Leif Malmklang,Leif (LAYF) Ore-Sound,레이프 말름클랑,
274,Magne Hammerslag,Magne (MAHG-ne) Hammer-Strike,마그네 함메르슬라그,
275,Nils Gråstein,Nils (NILS) Graystone,닐스 그로스타인,
276,Olav Jernfot,Olav (OH-lav) Iron-Foot,올라브 예른포트,
277,Per Skjeggvokter,Per (PEHR) Beard-Warden,페르 스케그복테르,
278,Ragnar Bergstrøm,Ragnar (RAG-nar) Mountain-Stream,라그나르 베르그스트룀,
279,Sigurd Steinbrudd,Sigurd (SEE-gurd) Stone-Quarry,시구르드 스타인브루드,
280,Torvald Malmsmed,Torvald (TOR-vald) Ore-Smith,토르발드 말름스메드,
281,Ulf Hammarslag,Ulf (ULF) Hammer-Strike,울프 함마르슬라그,
282,Valdemar Dypjord,Valdemar (VAL-de-mar) Deep-Earth,발데마르 뒤프요르드,
283,Arne Klippestø,Arne (AR-ne) Cliff-Solid,아르네 클리페스퇴,
284,Bjørn Hardfør,Bjørn (BYURN) Hardy,비외른 하르드푀르,
285,Dag Grunnfjell,Dag (DAHG) Ground-Mountain,다그 그룬피엘,
286,Einar Jernbryn,Einar (AY-nar) Iron-Brow,에이나르 예른브륀,
287,Finn Skjegglås,Finn (FINN) Beard-Lock,핀 스케그로스,
288,Gudmund Steinvegg,Gudmund (GOOD-mund) Stone-Wall,구드문 스타인베그,
289,Halvor Malmrot,Halvor (HAL-vor) Ore-Root,할보르 말름로트,
290,Ivar Bergfoten,Ivar (EE-var) Mountain-Foot,이바르 베르그포텐,
291,Jostein Hardklo,Jostein (YOH-stine) Hard-Claw,요스타인 하르트클로,
292,Knut Tungeskjegg,Knut (KNOOT) Heavy-Beard,크누트 퉁게스케그,
293,Leif Hammardrag,Leif (LAYF) Hammer-Draw,레이프 함마르드라그,
294,Magne Grubbetroll,Magne (MAHG-ne) Mine-Troll,마그네 그루베트롤,
295,Oddvar Svarthjarta,Oddvar (ODD-var) Black-Heart,오드바르 스바르트히에르타,
296,Olav Stålhode,Olav (OH-lav) Steel-Head,올라브 스톨호데,
297,Per Tungemunn,Per (PEHR) Heavy-Mouth,페르 퉁게문,
298,Ragnar Jernskjold,Ragnar (RAG-nar) Iron-Shield,라그나르 예른스욜,
299,Sigurd Steinbryter,Sigurd (SEE-gurd) Stone-Breaker,시구르드 스타인브뤼테르,
300,Torvald Malmhånd,Torvald (TOR-vald) Ore-Hand,토르발드 말름호른,
301,Ulrik Klippefot,Ulrik (OOL-rik) Cliff-Foot,울리크 클리페포트,
302,Valdemar Skjegghammer,Valdemar (VAL-de-mar) Beard-Hammer,발데마르 스케그함메르,
303,Are Grubbesten,Are (AH-re) Mine-Stone,아레 그루베스텐,
304,Bjørn Skarphake,Bjørn (BYURN) Sharp-Jaw,비외른 스카르프하케,
305,Dag Steinmurer,Dag (DAHG) Stone-Mason,다그 스타인무레르,
306,Einar Malmvekt,Einar (AY-nar) Ore-Weight,에이나르 말름베크트,
307,Finn Bergklippe,Finn (FINN) Mountain-Cliff,핀 베르그클리페,
308,Gudmund Jernlås,Gudmund (GOOD-mund) Iron-Lock,구드문 예른로스,
309,Halvor Dypbrønn,Halvor (HAL-vor) Deep-Well,할보르 뒤프브뢴,
310,Ivar Hammerfall,Ivar (EE-var) Hammer-Fall,이바르 함메르팔,
311,Jostein Gråskjegg,Jostein (YOH-stine) Gray-Beard,요스타인 그로스케그,
312,Knut Fjellmann,Knut (KNOOT) Mountain-Man,크누트 피엘만,
313,Leif Stenvokter,Leif (LAYF) Stone-Warden,레이프 스텐복테르,
314,Magne Malmkappe,Magne (MAHG-ne) Ore-Cape,마그네 말름카페,
315,Nils Svartsten,Nils (NILS) Black-Stone,닐스 스바르트스텐,
316,Olav Tungvekt,Olav (OH-lav) Heavy-Weight,올라브 퉁베크트,
317,Per Bergrot,Per (PEHR) Mountain-Root,페르 베르그로트,
318,Ragnar Jernsmed,Ragnar (RAG-nar) Iron-Smith,라그나르 예른스메드,
319,Sigurd Steinbrott,Sigurd (SEE-gurd) Stone-Quarry,시구르드 스타인브로트,
320,Torvald Dypgrop,Torvald (TOR-vald) Deep-Pit,토르발드 뒤프그롭,
321,Ulf Malmkløft,Ulf (ULF) Ore-Cleft,울프 말름클뢰프트,
322,Valdemar Klippevegg,Valdemar (VAL-de-mar) Cliff-Wall,발데마르 클리페베그,
323,Arne Stålarm,Arne (AR-ne) Steel-Arm,아르네 스톨아름,
324,Bjørn Grubbe,Bjørn (BYURN) Mine-Pit,비외른 그루베,
325,Dag Hardfør,Dag (DAHG) Hardy,다그 하르드푀르,
326,Einar Jernføtter,Einar (AY-nar) Iron-Feet,에이나르 예른푀테르,
327,Finn Steinøye,Finn (FINN) Stone-Eye,핀 스타인외예,
328,Gudmund Malmhugger,Gudmund (GOOD-mund) Ore-Chopper,구드문 말름후게르,
329,Halvor Berggud,Halvor (HAL-vor) Mountain-God,할보르 베르그구드,
330,Ivar Hammarlås,Ivar (EE-var) Hammer-Lock,이바르 함마르로스,
331,Jostein Gråklang,Jostein (YOH-stine) Gray-Sound,요스타인 그로클랑,
332,Knut Fjellfest,Knut (KNOOT) Mountain-Fast,크누트 피엘페스트,
333,Leif Steinrøtter,Leif (LAYF) Stone-Rooter,레이프 스타인뢰테르,
